slug,title,category,file_name,asset_path,alt_text,prompt,status
protein-na-chudnutie,"Proteín na chudnutie – ako vyberať a dávkovať",proteiny,protein-na-chudnutie.webp,public/assets/img/articles/heroes/protein-na-chudnutie.webp,"Proteín na chudnutie – ako vyberať a dávkovať","Realistic professional hero photo, protein shake, healthy breakfast, subtle fitness and weight loss concept, bright minimal background, soft pastel palette, modern health and fitness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
kreatin-porovnanie,"Kreatín – porovnanie a výber (Creapure, monohydrát, HCl)",sila,kreatin-porovnanie.webp,public/assets/img/articles/heroes/kreatin-porovnanie.webp,"Kreatín – porovnanie a výber (Creapure, monohydrát, HCl)","Realistic professional hero photo, creatine supplement jar, shaker, subtle gym environment in soft blur, bright minimal background, soft pastel palette, modern health and fitness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
kolagen-recenzia,"Kolagén – recenzie a výber (typ I/II/III)",klby-koza,kolagen-recenzia.webp,public/assets/img/articles/heroes/kolagen-recenzia.webp,"Kolagén – recenzie a výber (typ I/II/III)","Realistic professional hero photo, collagen powder supplement, scoop, subtle wellness and beauty detail, bright minimal background, soft pastel palette, modern health look, natural light, no text, no collage, 3:2 aspect ratio.",todo
horcik-ktory-je-najlepsi-a-preco,"Horčík – ktorý je najlepší a prečo?",mineraly,horcik-ktory-je-najlepsi-a-preco.webp,public/assets/img/articles/heroes/horcik-ktory-je-najlepsi-a-preco.webp,"Horčík – ktorý je najlepší a prečo?","Realistic professional hero photo, magnesium capsules and mineral supplement bottle in a clean product layout, bright minimal background, soft pastel palette, modern health look, natural light, no text, no collage, 3:2 aspect ratio.",todo
imunita-prirodne-latky-ktore-funguju,"Imunita – 5 prírodných látok, ktoré fungujú",imunita,imunita-prirodne-latky-ktore-funguju.webp,public/assets/img/articles/heroes/imunita-prirodne-latky-ktore-funguju.webp,"Imunita – 5 prírodných látok, ktoré fungujú","Realistic professional hero photo, vitamins, citrus fruits, capsules and healthy lifestyle detail, bright minimal background, soft pastel palette, modern wellness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
pre-workout-ako-vybrat,"Ako vybrať pre-workout – stimulanty aj pumpa",pre-workout,pre-workout-ako-vybrat.webp,public/assets/img/articles/heroes/pre-workout-ako-vybrat.webp,"Ako vybrať pre-workout – stimulanty aj pumpa","Realistic professional hero photo, pre-workout supplement jar, shaker, energetic gym detail, bright minimal background, soft pastel palette, modern fitness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
probiotika-ako-vybrat,"Probiotiká – ako vybrať a na čo si dať pozor",probiotika-travenie,probiotika-ako-vybrat.webp,public/assets/img/articles/heroes/probiotika-ako-vybrat.webp,"Probiotiká – ako vybrať a na čo si dať pozor","Realistic professional hero photo, probiotic capsules on a clean minimalist surface, soft wellness styling, bright minimal background, soft pastel palette, modern health look, natural light, no text, no collage, 3:2 aspect ratio.",todo
veganske-proteiny-top-vyber-2025,"Vegánske proteíny – top výber 2025",proteiny,veganske-proteiny-top-vyber-2025.webp,public/assets/img/articles/heroes/veganske-proteiny-top-vyber-2025.webp,"Vegánske proteíny – top výber 2025","Realistic professional hero photo, vegan protein powder, plant ingredients, clean product styling, bright minimal background, soft pastel palette, modern health and fitness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
najlepsie-proteiny-2025,"Najlepšie proteíny 2025 – prehľad a výber podľa cieľa",proteiny,najlepsie-proteiny-2025.webp,public/assets/img/articles/heroes/najlepsie-proteiny-2025.webp,"Najlepšie proteíny 2025 – prehľad a výber podľa cieľa","Realistic professional hero photo, several protein products arranged in a modern comparison layout, bright minimal background, soft pastel palette, modern health and fitness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
najlepsi-protein-na-chudnutie-wpc-vs-wpi,"Najlepší proteín na chudnutie: WPC vs. WPI, dávkovanie a načasovanie",proteiny,najlepsi-protein-na-chudnutie-wpc-vs-wpi.webp,public/assets/img/articles/heroes/najlepsi-protein-na-chudnutie-wpc-vs-wpi.webp,"Najlepší proteín na chudnutie: WPC vs. WPI, dávkovanie a načasovanie","Realistic professional hero photo, whey protein, shaker and clean fitness nutrition setting, bright minimal background, soft pastel palette, modern health and fitness look, natural light, no text, no collage, 3:2 aspect ratio.",todo
